"Country","Mountain_range","Locality","Plot","Subplot","Date","Day","Month","Year","Radiation","Phos_P","Glu_P","SOC_P","NT_P","PT_P","K_P","pH_P","Cond_P","Phos_B","Glu_B","SOC_B","NT_B","PT_B","K_B","pH_B","Cond_B","Phos_T","Glu_T","SOC_T","NT_T","PT_T","K_T","pH_T","Cond_T"
"Spain","Sierra de Guadarrama","Citores","8","5",2010-07-05,5,7,2010,0.78665788,6.221260275,1.655813009,7.5404242445,6.412399397,0.892669032,0.016902541,5.054,51.89,5.094304802,2.09576036,5.045532031,4.51691094,0.76876477,0.01266491,5.812,34.78,6.305018219,0.97321399,7.659554583,6.402509455,0.907710454,0.019121963,5.146693104,53.00875688
"Spain","Sierra de Guadarrama","Collado de Bailanderos","9","1",2010-07-07,7,7,2010,0.663400432,6.6836244635,5.2224172615,8.5755379255,6.379720085,0.721668861,0.0129049385,5.345,48.17,4.705513443,3.14071024,7.117935014,4.817855871,0.744281842,0.012958412,5.454,43.02,6.159534796,4.942250171,9.170993769,5.33144344,0.696072619,0.014917321,5.505134066,48.1026397
"Spain","Sierra de Guadarrama","Collado de Bailanderos","9","2",2010-07-07,7,7,2010,0.663400432,6.6836244635,5.2224172615,8.5755379255,6.379720085,0.721668861,0.0129049385,5.345,48.17,4.705513443,3.14071024,7.117935014,4.817855871,0.744281842,0.012958412,5.454,43.02,6.159534796,4.942250171,9.170993769,5.33144344,0.696072619,0.014917321,5.505134066,48.1026397
"Spain","Sierra de Guadarrama","Collado de Bailanderos","9","3",2010-07-07,7,7,2010,0.663400432,6.6836244635,5.2224172615,8.5755379255,6.379720085,0.721668861,0.0129049385,5.345,48.17,4.705513443,3.14071024,7.117935014,4.817855871,0.744281842,0.012958412,5.454,43.02,6.159534796,4.942250171,9.170993769,5.33144344,0.696072619,0.014917321,5.505134066,48.1026397
"Spain","Sierra de Guadarrama","Collado de Bailanderos","9","4",2010-07-07,7,7,2010,0.663400432,6.6836244635,5.2224172615,8.5755379255,6.379720085,0.721668861,0.0129049385,5.345,48.17,4.705513443,3.14071024,7.117935014,4.817855871,0.744281842,0.012958412,5.454,43.02,6.159534796,4.942250171,9.170993769,5.33144344,0.696072619,0.014917321,5.505134066,48.1026397
"Spain","Sierra de Guadarrama","Collado de Bailanderos","9","5",2010-07-07,7,7,2010,0.663400432,6.6836244635,5.2224172615,8.5755379255,6.379720085,0.721668861,0.0129049385,5.345,48.17,4.705513443,3.14071024,7.117935014,4.817855871,0.744281842,0.012958412,5.454,43.02,6.159534796,4.942250171,9.170993769,5.33144344,0.696072619,0.014917321,5.505134066,48.1026397
"Spain","Sierra de Guadarrama","Collado de la Najarra","10","1",2010-06-17,17,6,2010,0.81390316,4.6003203495,2.237341639,10.060821165,8.45185869,4.717598732,0.012676899,4.935,58.03,3.513401974,1.397653496,6.001644518,7.07859756,1.027399261,0.008225662,4.94,43.48,5.445472904,2.532040257,9.921079225,8.419650307,2.025610798,0.012172897,5.09654505,54.31679874
"Spain","Sierra de Guadarrama","Collado de la Najarra","10","2",2010-06-17,17,6,2010,0.81390316,4.6003203495,2.237341639,10.060821165,8.45185869,4.717598732,0.012676899,4.935,58.03,3.513401974,1.397653496,6.001644518,7.07859756,1.027399261,0.008225662,4.94,43.48,5.445472904,2.532040257,9.921079225,8.419650307,2.025610798,0.012172897,5.09654505,54.31679874
"Spain","Sierra de Guadarrama","Collado de la Najarra","10","3",2010-06-17,17,6,2010,0.81390316,4.6003203495,2.237341639,10.060821165,8.45185869,4.717598732,0.012676899,4.935,58.03,3.513401974,1.397653496,6.001644518,7.07859756,1.027399261,0.008225662,4.94,43.48,5.445472904,2.532040257,9.921079225,8.419650307,2.025610798,0.012172897,5.09654505,54.31679874
"Spain","Sierra de Guadarrama","Collado de la Najarra","10","4",2010-06-17,17,6,2010,0.81390316,4.6003203495,2.237341639,10.060821165,8.45185869,4.717598732,0.012676899,4.935,58.03,3.513401974,1.397653496,6.001644518,7.07859756,1.027399261,0.008225662,4.94,43.48,5.445472904,2.532040257,9.921079225,8.419650307,2.025610798,0.012172897,5.09654505,54.31679874
